ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
62	195	0	0	0.000000	1.205128	1.205128	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
63	228	0	0	0.000000	1.688596	1.688596	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
64	433	0	0	0.000000	2.953811	2.953811	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
65	316	0	0	0.000000	1.566456	1.566456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
66	501	0	0	0.000000	2.716567	2.716567	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
67	80	0	0	0.000000	2.312500	2.312500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
68	84	0	0	0.000000	2.607143	2.607143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
69	285	0	0	0.000000	2.242105	2.242105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
70	387	0	0	0.000000	1.560724	1.560724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
71	233	0	0	0.000000	1.699571	1.699571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
72	49	0	0	0.000000	1.326531	1.326531	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
73	319	0	0	0.000000	2.266458	2.266458	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
74	146	0	0	0.000000	1.349315	1.349315	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
75	456	0	0	0.000000	1.780702	1.780702	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
76	339	0	0	0.000000	1.687316	1.687316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
77	104	2	0	0.000000	2.990385	2.990385	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
78	697	2	0	0.000000	8.232425	7.974175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
79	241	0	0	0.000000	2.497925	2.497925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
80	106	0	0	0.000000	1.500000	1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
81	271	0	0	0.000000	1.926199	1.926199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
82	273	0	0	0.000000	2.029304	2.029304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
83	94	0	0	0.000000	3.127660	3.127660	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
84	80	0	0	0.000000	2.750000	2.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
85	204	0	0	0.000000	1.901961	1.901961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
86	669	0	0	0.000000	2.575486	2.575486	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
87	67	0	0	0.000000	1.910448	1.910448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
88	291	0	0	0.000000	2.154639	2.154639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
89	454	0	0	0.000000	1.497797	1.497797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
90	143	0	0	0.000000	2.090909	2.090909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
91	111	0	0	0.000000	1.405405	1.405405	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
92	109	0	0	0.000000	2.045872	2.045872	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
93	108	0	0	0.000000	1.611111	1.611111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
94	101	0	0	0.000000	2.118812	2.118812	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
95	205	0	0	0.000000	1.590244	1.590244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
96	328	0	0	0.000000	2.253049	2.253049	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
97	25	1	1	0.000000	2.720000	2.720000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
98	18	2	2	0.000000	4.500000	4.444444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
99	42	1	2	0.000000	3.309524	2.833333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
100	80	0	0	0.000000	1.875000	1.875000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
101	102	0	0	0.000000	2.931373	2.931373	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
102	83	0	0	0.000000	1.927711	1.927711	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
103	48	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
104	109	0	0	0.000000	1.376147	1.376147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
105	352	0	0	0.000000	1.784091	1.784091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
106	242	0	0	0.000000	1.276860	1.276860	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
107	191	0	0	0.000000	1.565445	1.565445	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
108	123	0	0	0.000000	1.552846	1.552846	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
109	200	0	0	0.000000	1.745000	1.745000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
110	228	0	0	0.000000	2.074561	2.074561	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
111	43	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
112	187	0	0	0.000000	1.042781	1.042781	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
113	241	0	0	0.000000	2.269710	2.269710	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
114	194	0	0	0.000000	2.036082	2.036082	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
115	706	0	0	0.000000	2.344193	2.344193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
116	85	0	0	0.000000	1.364706	1.364706	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
117	140	0	0	0.000000	3.157143	3.157143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
118	300	0	0	0.000000	2.016667	2.016667	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
119	249	0	0	0.000000	1.526104	1.526104	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
120	298	0	0	0.000000	2.684564	2.684564	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
121	47	0	0	0.000000	2.340426	2.340426	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
122	686	0	0	0.000000	1.663265	1.663265	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
123	270	0	0	0.000000	1.677778	1.677778	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
124	295	0	0	0.000000	2.505085	2.505085	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
125	80	0	0	0.000000	1.850000	1.850000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
126	80	0	0	0.000000	1.575000	1.575000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
127	114	0	0	0.000000	1.526316	1.526316	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
128	80	0	0	0.000000	1.987500	1.987500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
